,label
24011,singlePeak
8197,singlePeak
75754,doublePeak
91050,doublePeak
4178,doublePeak
19821,singlePeak
41333,singlePeak
25102,singlePeak
48658,singlePeak
88319,singlePeak
133888,singlePeak
79517,singlePeak
52847,singlePeak
76289,doublePeak
25801,doublePeak
131483,doublePeak
57973,doublePeak
123508,singlePeak
73545,doublePeak
46696,doublePeak
673,singlePeak
54770,singlePeak
112377,singlePeak
87092,singlePeak
46824,singlePeak
45934,singlePeak
76638,singlePeak
111080,singlePeak
116411,singlePeak
112850,singlePeak
21651,doublePeak
72950,doublePeak
57990,singlePeak
120540,singlePeak
91505,singlePeak
134461,doublePeak
78183,singlePeak
77882,doublePeak
41496,doublePeak
133740,singlePeak
17270,singlePeak
10041,singlePeak
72288,singlePeak
106790,doublePeak
14773,singlePeak
74503,singlePeak
26748,doublePeak
7895,doublePeak
99674,singlePeak
134965,singlePeak
101922,singlePeak
130066,singlePeak
35064,singlePeak
22852,doublePeak
82850,singlePeak
118445,singlePeak
10027,doublePeak
10042,singlePeak
24255,singlePeak
4204,singlePeak
49791,doublePeak
90059,singlePeak
16176,singlePeak
137635,doublePeak
113922,doublePeak
90310,doublePeak
78099,singlePeak
90724,singlePeak
30376,doublePeak
38086,doublePeak
60129,singlePeak
129654,singlePeak
95372,singlePeak
107272,doublePeak
74166,singlePeak
94736,doublePeak
50209,singlePeak
42724,singlePeak
107226,doublePeak
85082,singlePeak
76798,singlePeak
83767,singlePeak
103378,singlePeak
10117,doublePeak
10552,doublePeak
104509,singlePeak
55554,singlePeak
17878,singlePeak
18020,singlePeak
129856,doublePeak
51156,singlePeak
125085,doublePeak
33730,singlePeak
125837,singlePeak
42768,singlePeak
95293,doublePeak
140512,singlePeak
61547,singlePeak
133161,singlePeak
77395,singlePeak
69974,singlePeak
64986,doublePeak
37013,singlePeak
119842,doublePeak
45569,singlePeak
141864,singlePeak
59531,singlePeak
139849,doublePeak
44582,singlePeak
11726,doublePeak
98973,singlePeak
41515,doublePeak
59954,doublePeak
30095,singlePeak
16025,singlePeak
70371,doublePeak
132516,singlePeak
40383,singlePeak
14007,singlePeak
49725,singlePeak
139579,doublePeak
7807,doublePeak
110380,singlePeak
45024,singlePeak
86522,singlePeak
133288,doublePeak
138281,singlePeak
35241,singlePeak
138284,doublePeak
1320,doublePeak
121167,doublePeak
62437,singlePeak
35302,singlePeak
76680,singlePeak
95231,singlePeak
110644,singlePeak
79788,singlePeak
123031,singlePeak
101733,doublePeak
74,singlePeak
104017,singlePeak
46886,singlePeak
25451,doublePeak
16457,doublePeak
34431,doublePeak
24757,doublePeak
126516,singlePeak
133147,doublePeak
1169,singlePeak
4425,singlePeak
21322,doublePeak
84390,doublePeak
127946,singlePeak
122504,doublePeak
17316,singlePeak
61942,doublePeak
18177,singlePeak
18042,singlePeak
36748,singlePeak
56045,doublePeak
41136,doublePeak
117761,singlePeak
29547,singlePeak
140116,singlePeak
41780,singlePeak
89258,singlePeak
137599,singlePeak
23206,singlePeak
60533,singlePeak
32154,singlePeak
89188,doublePeak
110319,singlePeak
21439,singlePeak
67200,singlePeak
26849,singlePeak
3840,singlePeak
108994,doublePeak
13554,singlePeak
2903,doublePeak
68543,doublePeak
72552,singlePeak
89062,singlePeak
70043,singlePeak
13308,doublePeak
38146,singlePeak
12636,singlePeak
85860,singlePeak
54100,doublePeak
73912,singlePeak
17503,singlePeak
64952,doublePeak
113750,singlePeak
35281,singlePeak
126339,singlePeak
117714,singlePeak
99705,singlePeak
64041,singlePeak
59378,doublePeak
116623,doublePeak
48445,singlePeak
123008,doublePeak
7670,doublePeak
100271,singlePeak
33846,singlePeak
97593,doublePeak
108407,doublePeak
32350,singlePeak
15930,doublePeak
83043,singlePeak
35992,singlePeak
31739,singlePeak
123795,singlePeak
90556,singlePeak
57894,singlePeak
135910,doublePeak
9824,doublePeak
117117,singlePeak
78502,singlePeak
128136,singlePeak
45552,singlePeak
49008,singlePeak
78428,doublePeak
11648,singlePeak
41314,singlePeak
66471,singlePeak
32783,singlePeak
69592,singlePeak
131936,singlePeak
112966,singlePeak
75206,doublePeak
36879,singlePeak
9773,singlePeak
84471,doublePeak
41579,singlePeak
30814,singlePeak
12202,singlePeak
20565,doublePeak
24978,doublePeak
97634,singlePeak
22241,singlePeak
119177,doublePeak
89759,singlePeak
118843,doublePeak
82921,doublePeak
132693,doublePeak
72233,singlePeak
68772,singlePeak
85713,singlePeak
88139,singlePeak
41076,singlePeak
118521,singlePeak
13949,singlePeak
31790,singlePeak
21192,singlePeak
16544,singlePeak
82064,doublePeak
99622,singlePeak
98682,doublePeak
52503,singlePeak
6050,singlePeak
17882,singlePeak
12409,singlePeak
108912,singlePeak
11070,doublePeak
83371,singlePeak
65766,doublePeak
23012,doublePeak
97489,singlePeak
78996,singlePeak
67270,singlePeak
104419,doublePeak
7627,doublePeak
118063,doublePeak
44532,singlePeak
17848,singlePeak
75451,doublePeak
65001,doublePeak
25465,doublePeak
122112,doublePeak
84424,singlePeak
118203,doublePeak
62935,singlePeak
49659,singlePeak
57949,singlePeak
76134,singlePeak
4420,doublePeak
16180,singlePeak
96059,singlePeak
121189,singlePeak
48989,singlePeak
36353,singlePeak
42821,doublePeak
818,singlePeak
71103,singlePeak
87281,singlePeak
51215,singlePeak
18231,singlePeak
74491,singlePeak
31166,singlePeak
69393,doublePeak
106279,singlePeak
65858,doublePeak
115752,doublePeak
92693,singlePeak
124951,singlePeak
62318,singlePeak
55999,doublePeak
103889,singlePeak
37499,doublePeak
79043,doublePeak
31250,singlePeak
71930,doublePeak
126041,doublePeak
8613,doublePeak
39434,singlePeak
60100,singlePeak
16718,singlePeak
40934,doublePeak
84155,singlePeak
41576,singlePeak
49055,doublePeak
84599,singlePeak
32364,singlePeak
60476,singlePeak
26732,singlePeak
48367,singlePeak
72748,singlePeak
50906,singlePeak
130213,singlePeak
59218,singlePeak
140597,doublePeak
124284,singlePeak
13900,singlePeak
27212,singlePeak
95174,singlePeak
25505,doublePeak
115864,singlePeak
68807,singlePeak
78379,singlePeak
14635,singlePeak
35377,singlePeak
78726,singlePeak
40174,doublePeak
9501,singlePeak
7378,singlePeak
127907,singlePeak
43701,singlePeak
105284,singlePeak
12633,singlePeak
32211,singlePeak
80400,singlePeak
134052,doublePeak
21539,singlePeak
135691,singlePeak
123591,singlePeak
40048,singlePeak
122802,singlePeak
40687,doublePeak
46679,singlePeak
31179,singlePeak
99026,singlePeak
90410,singlePeak
98232,singlePeak
21310,singlePeak
116152,singlePeak
117732,singlePeak
54281,doublePeak
2098,doublePeak
98381,singlePeak
90400,singlePeak
66794,doublePeak
3290,singlePeak
90345,singlePeak
33954,singlePeak
125919,singlePeak
99490,singlePeak
72905,singlePeak
130649,doublePeak
66260,singlePeak
34717,singlePeak
132442,doublePeak
96870,singlePeak
26333,singlePeak
84681,singlePeak
2109,doublePeak
134300,singlePeak
16301,singlePeak
126818,singlePeak
11845,doublePeak
69625,singlePeak
141407,singlePeak
62047,singlePeak
44983,singlePeak
82786,singlePeak
107979,singlePeak
134001,doublePeak
137638,singlePeak
26551,singlePeak
116832,singlePeak
123425,singlePeak
101571,singlePeak
20748,singlePeak
78649,singlePeak
57362,singlePeak
60502,doublePeak
124788,doublePeak
60148,singlePeak
105929,singlePeak
64562,doublePeak
80623,singlePeak
17686,singlePeak
84494,doublePeak
141096,singlePeak
99184,singlePeak
1516,singlePeak
41674,doublePeak
128167,singlePeak
24734,doublePeak
109592,doublePeak
51013,singlePeak
82506,doublePeak
119457,singlePeak
12582,singlePeak
49219,singlePeak
83165,doublePeak
46747,doublePeak
105005,singlePeak
105212,singlePeak
91434,singlePeak
53326,doublePeak
59054,doublePeak
91540,singlePeak
53473,singlePeak
71257,singlePeak
139824,singlePeak
110278,doublePeak
123575,singlePeak
19660,singlePeak
77490,doublePeak
52630,singlePeak
69722,singlePeak
139198,singlePeak
99683,singlePeak
2608,singlePeak
139729,singlePeak
128070,doublePeak
139275,singlePeak
117069,singlePeak
104537,doublePeak
93356,singlePeak
27430,singlePeak
29329,singlePeak
74895,doublePeak
103829,singlePeak
8011,doublePeak
70578,singlePeak
138605,singlePeak
49396,singlePeak
122986,singlePeak
70465,doublePeak
97810,singlePeak
137124,singlePeak
102225,singlePeak
141623,singlePeak
121795,doublePeak
140471,singlePeak
60123,singlePeak
42824,singlePeak
72810,doublePeak
47464,singlePeak
110219,singlePeak
22534,doublePeak
45027,singlePeak
139913,singlePeak
139300,singlePeak
82051,singlePeak
76829,singlePeak
89433,doublePeak
111378,singlePeak
27868,singlePeak
58085,singlePeak
88602,singlePeak
44337,singlePeak
113567,singlePeak
133201,singlePeak
26894,singlePeak
10391,doublePeak
52179,singlePeak
62424,singlePeak
55175,singlePeak
142315,singlePeak
97704,singlePeak
8956,singlePeak
4451,doublePeak
73582,singlePeak
95859,singlePeak
107020,doublePeak
133494,doublePeak
118080,singlePeak
74975,doublePeak
70624,singlePeak
117825,doublePeak
111448,doublePeak
42046,doublePeak
96137,singlePeak
142083,doublePeak
8853,doublePeak
4033,doublePeak
32737,singlePeak
15695,singlePeak
80768,singlePeak
94566,singlePeak
68668,doublePeak
1291,singlePeak
120559,singlePeak
30465,singlePeak
45981,singlePeak
51647,singlePeak
77915,doublePeak
25138,doublePeak
58433,singlePeak
65243,singlePeak
41816,singlePeak
4081,doublePeak
87102,doublePeak
79506,singlePeak
108997,singlePeak
97935,singlePeak
38682,singlePeak
78519,singlePeak
95255,doublePeak
84447,singlePeak
95248,singlePeak
75371,doublePeak
45782,singlePeak
29444,singlePeak
119862,singlePeak
134578,doublePeak
4686,singlePeak
101201,singlePeak
69441,singlePeak
55659,singlePeak
35791,doublePeak
111416,singlePeak
96177,singlePeak
7036,singlePeak
56066,singlePeak
134779,doublePeak
122331,singlePeak
23494,doublePeak
57087,singlePeak
51631,singlePeak
99820,singlePeak
66418,singlePeak
116204,doublePeak
3431,singlePeak
89949,singlePeak
27069,singlePeak
119662,singlePeak
106598,singlePeak
141655,singlePeak
110229,singlePeak
74115,singlePeak
118259,singlePeak
125341,singlePeak
109034,doublePeak
100716,singlePeak
138987,singlePeak
141126,doublePeak
60326,singlePeak
74277,doublePeak
31471,doublePeak
115194,singlePeak
72669,singlePeak
47563,singlePeak
61505,doublePeak
25456,doublePeak
51567,doublePeak
4962,singlePeak
47867,singlePeak
1414,singlePeak
115095,doublePeak
55316,singlePeak
53557,singlePeak
32632,singlePeak
87222,doublePeak
49409,doublePeak
122516,singlePeak
14022,singlePeak
28355,singlePeak
4562,singlePeak
58905,singlePeak
79258,singlePeak
51751,singlePeak
21841,doublePeak
95625,singlePeak
6340,singlePeak
40265,singlePeak
95407,doublePeak
89202,singlePeak
129304,singlePeak
88503,doublePeak
68911,singlePeak
57833,singlePeak
44729,doublePeak
53666,singlePeak
82908,singlePeak
111415,singlePeak
123052,singlePeak
122911,singlePeak
46586,singlePeak
120176,doublePeak
5398,singlePeak
105314,singlePeak
68449,singlePeak
13587,singlePeak
16628,doublePeak
72452,doublePeak
122759,doublePeak
27188,doublePeak
126832,singlePeak
96637,singlePeak
64527,singlePeak
141648,singlePeak
17710,singlePeak
98490,singlePeak
9645,doublePeak
125467,singlePeak
137503,doublePeak
4736,singlePeak
8722,doublePeak
54377,singlePeak
105964,singlePeak
139802,singlePeak
35719,singlePeak
31583,singlePeak
94469,doublePeak
31959,doublePeak
136236,singlePeak
86973,singlePeak
136187,singlePeak
84251,singlePeak
33494,singlePeak
8583,singlePeak
23434,doublePeak
102261,doublePeak
21475,singlePeak
58561,singlePeak
16075,singlePeak
90580,doublePeak
64069,doublePeak
118507,singlePeak
78526,singlePeak
55957,singlePeak
12881,singlePeak
140473,doublePeak
107090,singlePeak
17125,singlePeak
20304,singlePeak
137259,singlePeak
95336,singlePeak
66284,singlePeak
79762,singlePeak
132862,singlePeak
73578,singlePeak
6317,singlePeak
26054,singlePeak
109723,singlePeak
62050,singlePeak
99317,singlePeak
62070,doublePeak
99914,singlePeak
24407,singlePeak
100529,doublePeak
71021,doublePeak
128174,singlePeak
119001,singlePeak
81321,singlePeak
76715,doublePeak
69398,singlePeak
37965,singlePeak
91447,singlePeak
101658,singlePeak
73482,singlePeak
10185,doublePeak
5371,singlePeak
10089,doublePeak
65431,singlePeak
34348,singlePeak
36774,doublePeak
141415,doublePeak
5432,singlePeak
46142,singlePeak
86496,singlePeak
24819,doublePeak
88423,singlePeak
75882,singlePeak
99849,singlePeak
115769,singlePeak
118303,singlePeak
110642,singlePeak
132081,doublePeak
89592,singlePeak
125449,singlePeak
78327,doublePeak
53584,doublePeak
136867,singlePeak
139394,singlePeak
121113,singlePeak
104398,doublePeak
10030,singlePeak
59088,singlePeak
131379,singlePeak
25985,doublePeak
18344,singlePeak
89649,singlePeak
118132,singlePeak
4921,singlePeak
35693,doublePeak
107917,singlePeak
64487,doublePeak
139566,singlePeak
105076,singlePeak
84791,singlePeak
44195,singlePeak
44792,doublePeak
140605,singlePeak
8996,doublePeak
127685,singlePeak
39222,singlePeak
134506,doublePeak
24927,doublePeak
31564,singlePeak
132584,singlePeak
27736,singlePeak
102280,singlePeak
60635,singlePeak
127334,singlePeak
136586,doublePeak
86254,singlePeak
91768,singlePeak
51984,singlePeak
63334,doublePeak
27812,singlePeak
102854,singlePeak
104506,singlePeak
36006,singlePeak
123273,singlePeak
54463,doublePeak
85231,singlePeak
29061,singlePeak
5495,singlePeak
39365,doublePeak
92769,singlePeak
128506,singlePeak
129296,singlePeak
78491,doublePeak
67092,singlePeak
122555,singlePeak
105041,singlePeak
80286,singlePeak
142429,singlePeak
92376,singlePeak
22977,singlePeak
51095,singlePeak
80669,doublePeak
65977,singlePeak
56566,singlePeak
31591,singlePeak
54678,singlePeak
52354,singlePeak
11264,doublePeak
97151,singlePeak
111059,singlePeak
4486,singlePeak
66625,doublePeak
121106,singlePeak
78289,singlePeak
121961,singlePeak
86837,doublePeak
24019,singlePeak
47404,doublePeak
24984,doublePeak
66338,singlePeak
45702,singlePeak
42358,doublePeak
26229,singlePeak
15513,singlePeak
117929,doublePeak
38368,doublePeak
140506,doublePeak
21543,singlePeak
79232,singlePeak
110732,singlePeak
57472,singlePeak
58015,singlePeak
137760,singlePeak
94049,singlePeak
129168,singlePeak
109880,singlePeak
49389,doublePeak
107456,singlePeak
100235,singlePeak
62143,singlePeak
36691,doublePeak
45708,singlePeak
29025,singlePeak
62665,singlePeak
44276,singlePeak
127112,singlePeak
3834,doublePeak
67874,singlePeak
124656,doublePeak
86007,singlePeak
35868,singlePeak
58088,doublePeak
44987,singlePeak
27374,singlePeak
134046,singlePeak
95026,singlePeak
10891,doublePeak
143059,singlePeak
25714,doublePeak
41170,singlePeak
141851,singlePeak
65834,singlePeak
99148,singlePeak
92982,singlePeak
80255,singlePeak
140364,singlePeak
19602,singlePeak
100108,singlePeak
123172,singlePeak
31283,singlePeak
56309,doublePeak
26345,singlePeak
107900,singlePeak
119442,singlePeak
117943,singlePeak
36217,doublePeak
99175,singlePeak
95413,singlePeak
2622,singlePeak
37164,singlePeak
68761,singlePeak
73603,singlePeak
62060,singlePeak
24759,doublePeak
94234,singlePeak
108266,singlePeak
60942,singlePeak
120251,singlePeak
3304,singlePeak
124119,singlePeak
23187,singlePeak
13546,singlePeak
49476,singlePeak
40461,singlePeak
101496,doublePeak
65910,singlePeak
94091,singlePeak
34937,singlePeak
15768,singlePeak
23419,doublePeak
96410,singlePeak
125816,singlePeak
109704,singlePeak
126123,singlePeak
58628,doublePeak
123068,singlePeak
84499,singlePeak
33438,doublePeak
51309,singlePeak
139163,singlePeak
71731,doublePeak
141525,singlePeak
31998,singlePeak
53058,singlePeak
62347,doublePeak
59302,singlePeak
120437,singlePeak
33804,singlePeak
60421,singlePeak
66445,singlePeak
75608,singlePeak
60882,singlePeak
1507,doublePeak
24477,doublePeak
49209,doublePeak
105013,doublePeak
43661,doublePeak
2935,singlePeak
123970,singlePeak
102263,singlePeak
67694,singlePeak
7836,doublePeak
92917,doublePeak
106679,doublePeak
63705,singlePeak
18598,singlePeak
13700,singlePeak
132554,singlePeak
5451,singlePeak
53960,doublePeak
74119,singlePeak
58626,singlePeak
23904,doublePeak
48477,singlePeak
31457,doublePeak
96201,doublePeak
7910,doublePeak
115781,singlePeak
131646,doublePeak
36797,singlePeak
78229,singlePeak
64835,singlePeak
98706,singlePeak
79930,singlePeak
58424,singlePeak
86310,doublePeak
95737,doublePeak
10621,singlePeak
25372,doublePeak
34625,singlePeak
139011,singlePeak
82061,doublePeak
80150,singlePeak
118600,singlePeak
85547,singlePeak
76813,singlePeak
65274,doublePeak
32491,singlePeak
110552,singlePeak
93419,doublePeak
9334,doublePeak
85554,singlePeak
67105,singlePeak
126978,singlePeak
110086,singlePeak
129343,singlePeak
106412,singlePeak
143153,singlePeak
93148,singlePeak
97874,singlePeak
80167,singlePeak
38888,doublePeak
32993,singlePeak
5137,singlePeak
35993,singlePeak
19677,singlePeak
80028,singlePeak
11722,doublePeak
124257,doublePeak
117586,singlePeak
112683,singlePeak
11672,singlePeak
113431,singlePeak
50989,singlePeak
54432,singlePeak
87106,singlePeak
78930,doublePeak
103746,singlePeak
61874,doublePeak
88207,doublePeak
118025,singlePeak
94086,singlePeak
21284,singlePeak
112280,singlePeak
4685,singlePeak
106715,singlePeak
28960,singlePeak
91205,doublePeak
44460,singlePeak
18257,singlePeak
44359,singlePeak
131905,doublePeak
68720,singlePeak
135822,doublePeak
76621,singlePeak
126782,singlePeak
131040,doublePeak
107699,singlePeak
77099,singlePeak
131883,singlePeak
72504,singlePeak
49462,singlePeak
13915,doublePeak
63054,singlePeak
42999,doublePeak
63989,singlePeak
121389,singlePeak
10910,doublePeak
41371,singlePeak
29197,singlePeak
83340,singlePeak
52432,singlePeak
46176,singlePeak
82690,singlePeak
96602,singlePeak
102791,singlePeak
1159,singlePeak
112087,singlePeak
75439,singlePeak
54542,doublePeak
106235,singlePeak
13966,singlePeak
127745,singlePeak
102983,singlePeak
141163,singlePeak
57615,singlePeak
104960,singlePeak
5334,singlePeak
27276,doublePeak
113579,singlePeak
91109,singlePeak
7178,singlePeak
118697,singlePeak
33325,singlePeak
95291,singlePeak
9778,singlePeak
134097,singlePeak
133817,singlePeak
130429,doublePeak
90443,singlePeak
37478,singlePeak
82195,doublePeak
133103,singlePeak
107361,singlePeak
65038,singlePeak
80789,singlePeak
136815,singlePeak
70129,doublePeak
112163,singlePeak
12425,doublePeak
113236,singlePeak
113195,singlePeak
132614,doublePeak
57693,singlePeak
77883,doublePeak
140081,singlePeak
99072,singlePeak
18287,singlePeak
95418,singlePeak
4112,singlePeak
39443,singlePeak
27023,singlePeak
94115,singlePeak
140083,doublePeak
85259,singlePeak
89148,singlePeak
113600,singlePeak
84783,singlePeak
133713,singlePeak
82402,singlePeak
42544,singlePeak
3189,singlePeak
49322,singlePeak
77884,singlePeak
39009,singlePeak
32131,singlePeak
29746,doublePeak
104950,singlePeak
110142,singlePeak
59932,doublePeak
120400,doublePeak
106530,doublePeak
106769,singlePeak
43269,doublePeak
121998,singlePeak
71644,singlePeak
87085,doublePeak
90246,singlePeak
46533,singlePeak
102067,singlePeak
112126,doublePeak
75300,singlePeak
61349,singlePeak
26223,singlePeak
47983,singlePeak
123460,singlePeak
69039,doublePeak
85808,singlePeak
40003,singlePeak
27995,singlePeak
6427,singlePeak
67785,singlePeak
92736,doublePeak
26194,singlePeak
14136,singlePeak
4012,singlePeak
324,singlePeak
68931,singlePeak
8752,singlePeak
45408,doublePeak
90307,singlePeak
59133,singlePeak
105351,doublePeak
101450,doublePeak
56014,singlePeak
14058,singlePeak
110347,doublePeak
8199,doublePeak
26126,singlePeak
83999,singlePeak
122826,singlePeak
63790,doublePeak
8910,doublePeak
76841,singlePeak
94999,singlePeak
66747,doublePeak
134738,singlePeak
42730,doublePeak
116083,singlePeak
37629,singlePeak
118,singlePeak
142159,singlePeak
120967,doublePeak
31952,singlePeak
975,singlePeak
113586,doublePeak
119044,singlePeak
100882,doublePeak
6584,singlePeak
46480,singlePeak
31680,singlePeak
107752,doublePeak
103168,doublePeak
88080,singlePeak
116189,singlePeak
17473,singlePeak
139762,doublePeak
129415,singlePeak
89084,singlePeak
46235,doublePeak
26374,singlePeak
11468,doublePeak
136540,singlePeak
124140,doublePeak
76273,doublePeak
135507,singlePeak
68325,doublePeak
97180,doublePeak
34063,singlePeak
70922,singlePeak
106826,singlePeak
74902,doublePeak
97827,singlePeak
81083,singlePeak
27341,singlePeak
51389,singlePeak
5689,singlePeak
126737,singlePeak
41037,singlePeak
71733,doublePeak
140474,doublePeak
45479,singlePeak
128901,singlePeak
61678,singlePeak
108972,singlePeak
36465,singlePeak
130156,singlePeak
47593,doublePeak
102763,singlePeak
105082,singlePeak
4536,doublePeak
13866,singlePeak
10212,doublePeak
91203,doublePeak
43342,singlePeak
42255,singlePeak
111256,doublePeak
78201,doublePeak
117504,singlePeak
65254,singlePeak
88676,doublePeak
39481,singlePeak
21488,singlePeak
72548,singlePeak
70445,singlePeak
53171,doublePeak
55748,doublePeak
19686,singlePeak
8982,doublePeak
103786,singlePeak
47807,singlePeak
105883,singlePeak
36532,singlePeak
107116,singlePeak
77039,singlePeak
51719,singlePeak
55843,singlePeak
91473,doublePeak
137197,doublePeak
88372,doublePeak
4213,singlePeak
70633,singlePeak
110789,doublePeak
54979,singlePeak
46941,doublePeak
98833,singlePeak
62873,doublePeak
91942,singlePeak
60649,doublePeak
22225,singlePeak
66228,singlePeak
132842,singlePeak
26456,singlePeak
36572,doublePeak
141049,singlePeak
87978,singlePeak
36672,singlePeak
83511,doublePeak
120032,singlePeak
133555,singlePeak
39161,doublePeak
31237,singlePeak
96457,singlePeak
131847,singlePeak
117795,singlePeak
101837,singlePeak
114359,singlePeak
47461,singlePeak
85510,singlePeak
85721,singlePeak
105406,singlePeak
44991,singlePeak
10859,doublePeak
76819,doublePeak
40158,singlePeak
63097,singlePeak
14507,singlePeak
77967,doublePeak
100074,singlePeak
102122,singlePeak
85846,singlePeak
65620,singlePeak
138009,doublePeak
128919,singlePeak
11538,doublePeak
33082,singlePeak
115830,singlePeak
30167,singlePeak
22526,singlePeak
5160,singlePeak
109560,doublePeak
22952,singlePeak
119576,singlePeak
5325,singlePeak
32793,singlePeak
136023,singlePeak
52756,doublePeak
127807,singlePeak
90126,singlePeak
64978,singlePeak
32986,singlePeak
63128,singlePeak
27358,singlePeak
66840,singlePeak
29408,singlePeak
21015,singlePeak
129360,singlePeak
107052,doublePeak
21431,singlePeak
112212,singlePeak
87667,doublePeak
14422,singlePeak
91755,singlePeak
54063,doublePeak
35749,singlePeak
30593,singlePeak
1466,singlePeak
20471,singlePeak
34860,singlePeak
89926,singlePeak
61949,doublePeak
10338,singlePeak
24507,doublePeak
80221,singlePeak
35802,singlePeak
135684,singlePeak
106953,doublePeak
57466,singlePeak
46780,singlePeak
44224,doublePeak
5023,singlePeak
24225,doublePeak
58172,singlePeak
121262,singlePeak
33812,singlePeak
52138,singlePeak
66698,doublePeak
23326,doublePeak
124031,singlePeak
98109,singlePeak
51321,singlePeak
16657,singlePeak
84930,singlePeak
45930,singlePeak
50066,singlePeak
86471,singlePeak
94911,singlePeak
57857,singlePeak
99785,singlePeak
79213,singlePeak
83206,doublePeak
55842,singlePeak
96829,singlePeak
36453,singlePeak
69257,doublePeak
7595,doublePeak
60364,singlePeak
58200,singlePeak
11363,doublePeak
50168,singlePeak
55655,singlePeak
69250,doublePeak
88196,singlePeak
22265,singlePeak
135793,singlePeak
21653,doublePeak
95820,singlePeak
41804,singlePeak
127611,singlePeak
97746,doublePeak
133098,doublePeak
31399,singlePeak
67566,singlePeak
28301,singlePeak
254,singlePeak
85234,singlePeak
125532,singlePeak
59220,singlePeak
107144,doublePeak
57617,singlePeak
73574,singlePeak
126835,doublePeak
46213,singlePeak
112157,singlePeak
142717,doublePeak
7655,singlePeak
75304,singlePeak
109942,doublePeak
18624,singlePeak
59776,doublePeak
97301,singlePeak
5740,singlePeak
112756,doublePeak
100824,singlePeak
14407,singlePeak
16224,singlePeak
49072,singlePeak
10675,singlePeak
19908,singlePeak
109181,doublePeak
116344,singlePeak
89343,singlePeak
88346,singlePeak
100871,singlePeak
107459,singlePeak
55600,singlePeak
70923,singlePeak
19075,doublePeak
53648,singlePeak
67647,singlePeak
12097,singlePeak
93946,singlePeak
98612,doublePeak
1888,singlePeak
13292,doublePeak
35763,singlePeak
94925,doublePeak
13595,singlePeak
29795,singlePeak
59271,doublePeak
97168,singlePeak
22955,singlePeak
93194,singlePeak
12104,doublePeak
31593,singlePeak
94721,singlePeak
88836,singlePeak
3251,singlePeak
75736,singlePeak
128534,singlePeak
8924,singlePeak
16792,singlePeak
4716,singlePeak
82744,singlePeak
120301,singlePeak
21836,doublePeak
80974,doublePeak
38114,doublePeak
125372,singlePeak
130282,doublePeak
50559,singlePeak
113218,singlePeak
35539,singlePeak
124870,doublePeak
128847,singlePeak
142772,singlePeak
113383,singlePeak
20495,singlePeak
39776,singlePeak
9930,doublePeak
105547,singlePeak
61731,singlePeak
44086,singlePeak
47789,singlePeak
74412,doublePeak
17090,singlePeak
87608,singlePeak
143498,singlePeak
140917,singlePeak
72293,doublePeak
120115,singlePeak
118505,doublePeak
56494,singlePeak
96507,singlePeak
92837,singlePeak
125347,doublePeak
86116,singlePeak
66392,doublePeak
26221,singlePeak
60469,singlePeak
82099,singlePeak
38204,singlePeak
134495,singlePeak
120713,doublePeak
99123,singlePeak
67031,singlePeak
9835,doublePeak
37455,doublePeak
2031,singlePeak
89163,singlePeak
86095,singlePeak
45192,singlePeak
87288,singlePeak
107477,singlePeak
96583,doublePeak
5564,singlePeak
98481,doublePeak
128295,singlePeak
95429,doublePeak
84971,doublePeak
