,class
446995,QSO
1231437,GALAXY
1061392,GALAXY
936593,STAR
1375295,GALAXY
19894,QSO
309514,QSO
689355,STAR
1474504,GALAXY
419724,QSO
587692,STAR
298202,QSO
1342798,GALAXY
1128675,GALAXY
1216122,GALAXY
1422300,GALAXY
468943,QSO
713390,STAR
748355,STAR
990048,STAR
1291994,GALAXY
1442999,GALAXY
303246,QSO
90544,QSO
221776,QSO
69379,QSO
346328,QSO
657515,STAR
1316496,GALAXY
300794,QSO
1456734,GALAXY
187585,QSO
1411589,GALAXY
142562,QSO
1161446,GALAXY
1047624,GALAXY
228488,QSO
455470,QSO
486382,QSO
438254,QSO
1280929,GALAXY
163210,QSO
394912,QSO
1265741,GALAXY
27,QSO
132261,QSO
788971,STAR
516833,STAR
204378,QSO
600153,STAR
333234,QSO
1152650,GALAXY
88174,QSO
1252073,GALAXY
936207,STAR
1103405,GALAXY
1323068,GALAXY
763905,STAR
1059378,GALAXY
151568,QSO
731243,STAR
176293,QSO
1150150,GALAXY
581683,STAR
563322,STAR
875251,STAR
579455,STAR
1258086,GALAXY
512247,STAR
243904,QSO
714843,STAR
1042365,GALAXY
169899,QSO
579588,STAR
708518,STAR
150566,QSO
503107,STAR
788522,STAR
1250510,GALAXY
131302,QSO
1447581,GALAXY
697026,STAR
1088640,GALAXY
595844,STAR
413849,QSO
1027318,GALAXY
1127343,GALAXY
1269664,GALAXY
88818,QSO
1170410,GALAXY
525556,STAR
1076962,GALAXY
920494,STAR
429918,QSO
1117851,GALAXY
1329973,GALAXY
218769,QSO
607264,STAR
907017,STAR
1001870,GALAXY
592158,STAR
140206,QSO
755892,STAR
294138,QSO
1300819,GALAXY
1128309,GALAXY
1207717,GALAXY
88725,QSO
47060,QSO
1151927,GALAXY
328788,QSO
1438257,GALAXY
26388,QSO
542165,STAR
1190860,GALAXY
202686,QSO
633564,STAR
703226,STAR
924746,STAR
650881,STAR
224902,QSO
406265,QSO
458299,QSO
1361837,GALAXY
705621,STAR
861082,STAR
1308369,GALAXY
913683,STAR
377629,QSO
598158,STAR
1262136,GALAXY
1421954,GALAXY
651973,STAR
21102,QSO
1474662,GALAXY
629918,STAR
837066,STAR
1125628,GALAXY
549862,STAR
1014758,GALAXY
320701,QSO
742518,STAR
1154841,GALAXY
1066680,GALAXY
519112,STAR
229265,QSO
789678,STAR
66502,QSO
173413,QSO
876030,STAR
124296,QSO
1399544,GALAXY
949555,STAR
275547,QSO
239820,QSO
969105,STAR
128693,QSO
46241,QSO
51826,QSO
428158,QSO
106197,QSO
30643,QSO
368866,QSO
148815,QSO
1374027,GALAXY
1394369,GALAXY
773501,STAR
942026,STAR
1382860,GALAXY
1417509,GALAXY
720216,STAR
827271,STAR
144557,QSO
179441,QSO
995886,STAR
1444699,GALAXY
1267155,GALAXY
339376,QSO
750961,STAR
695897,STAR
1030507,GALAXY
717639,STAR
1292540,GALAXY
961945,STAR
707680,STAR
1119181,GALAXY
682918,STAR
1188922,GALAXY
126452,QSO
1368085,GALAXY
1002067,GALAXY
327897,QSO
354826,QSO
712745,STAR
1051786,GALAXY
380416,QSO
597310,STAR
175867,QSO
450529,QSO
1193333,GALAXY
1261003,GALAXY
529135,STAR
701925,STAR
282832,QSO
1015056,GALAXY
270826,QSO
363366,QSO
476590,QSO
653153,STAR
325191,QSO
1177432,GALAXY
1048413,GALAXY
146298,QSO
1118037,GALAXY
579384,STAR
552751,STAR
1060898,GALAXY
947034,STAR
641704,STAR
947500,STAR
1207681,GALAXY
472573,QSO
70786,QSO
1346280,GALAXY
1187380,GALAXY
887227,STAR
989930,STAR
730865,STAR
757104,STAR
530333,STAR
562820,STAR
613152,STAR
1275614,GALAXY
1201224,GALAXY
819013,STAR
241706,QSO
1319420,GALAXY
537747,STAR
1163712,GALAXY
751993,STAR
47475,QSO
177475,QSO
1214696,GALAXY
45199,QSO
1395351,GALAXY
1324314,GALAXY
1495485,GALAXY
1081601,GALAXY
699230,STAR
587595,STAR
1097895,GALAXY
1234948,GALAXY
619926,STAR
313228,QSO
1054762,GALAXY
404132,QSO
255768,QSO
1048347,GALAXY
1307851,GALAXY
1455830,GALAXY
513353,STAR
192979,QSO
565929,STAR
1459133,GALAXY
651186,STAR
779046,STAR
928776,STAR
469719,QSO
146701,QSO
1265146,GALAXY
1156093,GALAXY
763844,STAR
138492,QSO
713645,STAR
852745,STAR
1326681,GALAXY
438523,QSO
1080690,GALAXY
1153289,GALAXY
1489481,GALAXY
375700,QSO
70718,QSO
717514,STAR
631001,STAR
385221,QSO
366115,QSO
1437975,GALAXY
1157399,GALAXY
1141590,GALAXY
584463,STAR
573317,STAR
1154090,GALAXY
1414360,GALAXY
602253,STAR
1386167,GALAXY
1305466,GALAXY
1362752,GALAXY
497859,STAR
113738,QSO
463920,QSO
1022063,GALAXY
844555,STAR
672774,STAR
208365,QSO
794114,STAR
548897,STAR
162563,QSO
1319355,GALAXY
897063,STAR
138632,QSO
527601,STAR
38013,QSO
1026015,GALAXY
936090,STAR
91409,QSO
86250,QSO
868652,STAR
155448,QSO
1441538,GALAXY
1258700,GALAXY
916930,STAR
756899,STAR
881700,STAR
1409988,GALAXY
271069,QSO
176232,QSO
638691,STAR
178677,QSO
1020523,GALAXY
735311,STAR
1257436,GALAXY
983531,STAR
922409,STAR
668101,STAR
225857,QSO
880134,STAR
82356,QSO
148511,QSO
530996,STAR
1227343,GALAXY
991461,STAR
327638,QSO
40546,QSO
1249865,GALAXY
1339944,GALAXY
361799,QSO
569703,STAR
355137,QSO
691096,STAR
717522,STAR
190435,QSO
1056008,GALAXY
1071546,GALAXY
1284436,GALAXY
689624,STAR
213486,QSO
629063,STAR
66940,QSO
457586,QSO
996846,STAR
162147,QSO
766091,STAR
543469,STAR
604052,STAR
29769,QSO
402814,QSO
1444443,GALAXY
748107,STAR
851518,STAR
203516,QSO
1217576,GALAXY
1052461,GALAXY
843391,STAR
79417,QSO
631287,STAR
255178,QSO
1374416,GALAXY
1421756,GALAXY
1078288,GALAXY
815186,STAR
593003,STAR
165358,QSO
810519,STAR
669669,STAR
200222,QSO
541675,STAR
707824,STAR
452542,QSO
708787,STAR
1177183,GALAXY
490350,QSO
574934,STAR
830946,STAR
57244,QSO
121519,QSO
99642,QSO
1260506,GALAXY
1306462,GALAXY
1397897,GALAXY
248604,QSO
1076333,GALAXY
401469,QSO
411879,QSO
869484,STAR
555499,STAR
283318,QSO
979248,STAR
671478,STAR
1049281,GALAXY
708272,STAR
464670,QSO
755445,STAR
851616,STAR
877404,STAR
544118,STAR
1248153,GALAXY
243260,QSO
428076,QSO
152456,QSO
877267,STAR
1304607,GALAXY
198375,QSO
1393604,GALAXY
1024647,GALAXY
316249,QSO
247956,QSO
393949,QSO
137649,QSO
440878,QSO
904051,STAR
947250,STAR
896142,STAR
443566,QSO
498157,STAR
1105789,GALAXY
627770,STAR
54074,QSO
194620,QSO
598143,STAR
396829,QSO
814755,STAR
383961,QSO
1115749,GALAXY
1010817,GALAXY
331118,QSO
474189,QSO
50881,QSO
1152593,GALAXY
1219592,GALAXY
273502,QSO
1229015,GALAXY
1313050,GALAXY
1035972,GALAXY
1065190,GALAXY
665161,STAR
965995,STAR
951474,STAR
789315,STAR
630988,STAR
1130433,GALAXY
821843,STAR
976876,STAR
410895,QSO
785949,STAR
166546,QSO
854683,STAR
596078,STAR
242180,QSO
425776,QSO
162178,QSO
1483929,GALAXY
977005,STAR
569302,STAR
1083487,GALAXY
1284146,GALAXY
408803,QSO
1259893,GALAXY
753538,STAR
865922,STAR
430483,QSO
709582,STAR
627397,STAR
775047,STAR
433310,QSO
132357,QSO
422744,QSO
533958,STAR
899716,STAR
1438359,GALAXY
605472,STAR
927660,STAR
1376796,GALAXY
927111,STAR
1122506,GALAXY
1131411,GALAXY
649927,STAR
1449998,GALAXY
884081,STAR
121578,QSO
547995,STAR
430120,QSO
623502,STAR
1370800,GALAXY
1451247,GALAXY
807189,STAR
125061,QSO
110857,QSO
173362,QSO
1234014,GALAXY
149576,QSO
1028764,GALAXY
314229,QSO
730330,STAR
440467,QSO
1263988,GALAXY
884858,STAR
643944,STAR
88741,QSO
369212,QSO
752066,STAR
1350036,GALAXY
762549,STAR
837789,STAR
1026589,GALAXY
1446471,GALAXY
461272,QSO
1155728,GALAXY
356932,QSO
515899,STAR
2923,QSO
458907,QSO
508332,STAR
903507,STAR
1236051,GALAXY
508630,STAR
210469,QSO
301402,QSO
356023,QSO
1439760,GALAXY
271879,QSO
617142,STAR
244194,QSO
494886,QSO
786983,STAR
1088900,GALAXY
479498,QSO
1107754,GALAXY
721998,STAR
1348663,GALAXY
588810,STAR
841996,STAR
1394735,GALAXY
1237546,GALAXY
178924,QSO
140109,QSO
1468637,GALAXY
1251653,GALAXY
104779,QSO
263359,QSO
177599,QSO
328178,QSO
37475,QSO
1469093,GALAXY
259360,QSO
571171,STAR
907214,STAR
370557,QSO
885756,STAR
444691,QSO
763322,STAR
269951,QSO
888695,STAR
423524,QSO
479257,QSO
248367,QSO
845267,STAR
404686,QSO
850179,STAR
363704,QSO
916512,STAR
636292,STAR
722507,STAR
126813,QSO
955247,STAR
970475,STAR
675113,STAR
674875,STAR
1120039,GALAXY
767758,STAR
91080,QSO
612277,STAR
1278343,GALAXY
370093,QSO
283453,QSO
19931,QSO
106605,QSO
665695,STAR
57266,QSO
1411617,GALAXY
525879,STAR
1390821,GALAXY
235713,QSO
787925,STAR
256548,QSO
1247363,GALAXY
1038160,GALAXY
194899,QSO
30829,QSO
762160,STAR
925821,STAR
1269942,GALAXY
911538,STAR
405661,QSO
953538,STAR
43889,QSO
40976,QSO
1106195,GALAXY
1128287,GALAXY
1028531,GALAXY
1492483,GALAXY
577733,STAR
446999,QSO
659989,STAR
657716,STAR
295423,QSO
305042,QSO
407796,QSO
42893,QSO
1457408,GALAXY
1289398,GALAXY
371171,QSO
341521,QSO
925596,STAR
1190139,GALAXY
1152980,GALAXY
771894,STAR
1403642,GALAXY
27604,QSO
728867,STAR
1113072,GALAXY
597324,STAR
1471820,GALAXY
998877,GALAXY
991699,STAR
175528,QSO
327464,QSO
159344,QSO
587914,STAR
760585,STAR
767154,STAR
324316,QSO
846520,STAR
471200,QSO
1089820,GALAXY
1191365,GALAXY
2444,QSO
931083,STAR
853005,STAR
741866,STAR
352775,QSO
1228975,GALAXY
333309,QSO
1148881,GALAXY
313217,QSO
1450378,GALAXY
110590,QSO
354828,QSO
355881,QSO
527676,STAR
833983,STAR
1199340,GALAXY
385846,QSO
777256,STAR
1495553,GALAXY
535421,STAR
1194964,GALAXY
1035538,GALAXY
1447170,GALAXY
59748,QSO
820087,STAR
273086,QSO
275206,QSO
1228202,GALAXY
652341,STAR
1216188,GALAXY
597021,STAR
954508,STAR
722299,STAR
921424,STAR
183410,QSO
46031,QSO
303655,QSO
604380,STAR
106413,QSO
492865,QSO
1006999,GALAXY
1057028,GALAXY
1247146,GALAXY
984480,STAR
180017,QSO
207320,QSO
523742,STAR
96562,QSO
510042,STAR
1013543,GALAXY
119086,QSO
1078146,GALAXY
967367,STAR
351358,QSO
987985,STAR
422152,QSO
925089,STAR
1228843,GALAXY
167496,QSO
1415100,GALAXY
1360645,GALAXY
250269,QSO
183604,QSO
1156480,GALAXY
1407922,GALAXY
24215,QSO
361217,QSO
1027306,GALAXY
325012,QSO
1268229,GALAXY
1189008,GALAXY
223368,QSO
263218,QSO
174921,QSO
1274643,GALAXY
234567,QSO
960682,STAR
1077183,GALAXY
842410,STAR
388192,QSO
131644,QSO
1072296,GALAXY
228061,QSO
813217,STAR
347800,QSO
1226241,GALAXY
1185476,GALAXY
450161,QSO
1210732,GALAXY
202710,QSO
986856,STAR
656395,STAR
176747,QSO
214085,QSO
1244093,GALAXY
45740,QSO
252426,QSO
692870,STAR
961159,STAR
1160796,GALAXY
665952,STAR
623217,STAR
1245065,GALAXY
1078782,GALAXY
1001613,GALAXY
1124644,GALAXY
1409478,GALAXY
1443187,GALAXY
1003679,GALAXY
746130,STAR
1298595,GALAXY
259604,QSO
796112,STAR
1416582,GALAXY
15823,QSO
329370,QSO
1416054,GALAXY
1472342,GALAXY
305510,QSO
133848,QSO
1367685,GALAXY
729033,STAR
779509,STAR
1011364,GALAXY
512676,STAR
231211,QSO
1252278,GALAXY
1484478,GALAXY
562065,STAR
717719,STAR
1062715,GALAXY
34112,QSO
975652,STAR
1127510,GALAXY
398798,QSO
439128,QSO
16540,QSO
609906,STAR
218904,QSO
691729,STAR
1452738,GALAXY
185096,QSO
776161,STAR
1025828,GALAXY
1266155,GALAXY
807784,STAR
621828,STAR
173943,QSO
569155,STAR
292291,QSO
39524,QSO
14844,QSO
1099729,GALAXY
168592,QSO
942211,STAR
315282,QSO
514612,STAR
391961,QSO
111426,QSO
1166697,GALAXY
388465,QSO
511212,STAR
702710,STAR
1125614,GALAXY
1237230,GALAXY
1439742,GALAXY
188597,QSO
510485,STAR
1247448,GALAXY
869880,STAR
339954,QSO
535197,STAR
169294,QSO
146573,QSO
802902,STAR
1159541,GALAXY
1277769,GALAXY
99416,QSO
1299279,GALAXY
746476,STAR
2088,QSO
1179102,GALAXY
1039045,GALAXY
1181463,GALAXY
1056262,GALAXY
1490672,GALAXY
1210003,GALAXY
1340169,GALAXY
375413,QSO
227155,QSO
835054,STAR
887146,STAR
1321384,GALAXY
741626,STAR
1290165,GALAXY
396182,QSO
837726,STAR
396725,QSO
554603,STAR
550591,STAR
242593,QSO
449508,QSO
985318,STAR
98807,QSO
1053616,GALAXY
379362,QSO
1395462,GALAXY
535355,STAR
1002514,GALAXY
111862,QSO
542294,STAR
781014,STAR
1090335,GALAXY
831493,STAR
1036374,GALAXY
595937,STAR
382665,QSO
975978,STAR
820081,STAR
532779,STAR
202291,QSO
179122,QSO
800862,STAR
490940,QSO
432246,QSO
1259963,GALAXY
253247,QSO
1466510,GALAXY
921990,STAR
808526,STAR
1324583,GALAXY
776589,STAR
1395204,GALAXY
1337261,GALAXY
372649,QSO
1455850,GALAXY
630519,STAR
680720,STAR
1010417,GALAXY
1420989,GALAXY
112136,QSO
743951,STAR
1407250,GALAXY
547836,STAR
103001,QSO
731256,STAR
1112060,GALAXY
1297568,GALAXY
386984,QSO
423444,QSO
1069805,GALAXY
252805,QSO
1068191,GALAXY
448598,QSO
1140028,GALAXY
856319,STAR
1018048,GALAXY
33654,QSO
104258,QSO
310941,QSO
64252,QSO
209781,QSO
368443,QSO
1126149,GALAXY
398056,QSO
624425,STAR
953108,STAR
1292423,GALAXY
1325498,GALAXY
1203526,GALAXY
1393427,GALAXY
1194727,GALAXY
876056,STAR
379531,QSO
655516,STAR
575351,STAR
1222730,GALAXY
885482,STAR
769686,STAR
1346801,GALAXY
1477410,GALAXY
369752,QSO
1089384,GALAXY
1353585,GALAXY
799349,STAR
1430002,GALAXY
1235656,GALAXY
1452495,GALAXY
278016,QSO
1415563,GALAXY
1490679,GALAXY
357491,QSO
1341034,GALAXY
1348825,GALAXY
201360,QSO
552906,STAR
59010,QSO
468179,QSO
810026,STAR
1024717,GALAXY
751313,STAR
283913,QSO
1209932,GALAXY
1017012,GALAXY
965993,STAR
1114409,GALAXY
799043,STAR
470419,QSO
1234956,GALAXY
664157,STAR
834080,STAR
464925,QSO
69960,QSO
959714,STAR
1466784,GALAXY
1319974,GALAXY
713387,STAR
516421,STAR
44186,QSO
876809,STAR
597888,STAR
313361,QSO
2267,QSO
18216,QSO
1415610,GALAXY
137303,QSO
1173347,GALAXY
1136833,GALAXY
989549,STAR
1045424,GALAXY
390747,QSO
1107601,GALAXY
269439,QSO
707883,STAR
703607,STAR
419674,QSO
1350956,GALAXY
516992,STAR
889250,STAR
522271,STAR
1188992,GALAXY
1425573,GALAXY
449290,QSO
996431,STAR
379577,QSO
1340926,GALAXY
958881,STAR
753970,STAR
442423,QSO
469185,QSO
29756,QSO
1300300,GALAXY
473847,QSO
1005493,GALAXY
212918,QSO
708619,STAR
707257,STAR
947859,STAR
248975,QSO
750645,STAR
949730,STAR
34085,QSO
1083918,GALAXY
1174693,GALAXY
1429212,GALAXY
1000812,GALAXY
775005,STAR
1097302,GALAXY
603965,STAR
236616,QSO
1130673,GALAXY
446237,QSO
506738,STAR
1247793,GALAXY
839535,STAR
1484961,GALAXY
1200934,GALAXY
670553,STAR
585459,STAR
8315,QSO
1000275,GALAXY
267804,QSO
579709,STAR
33427,QSO
101173,QSO
413066,QSO
100340,QSO
866346,STAR
33544,QSO
584801,STAR
1254302,GALAXY
827311,STAR
1021998,GALAXY
1119019,GALAXY
771182,STAR
379385,QSO
131144,QSO
581778,STAR
1131312,GALAXY
1159803,GALAXY
117316,QSO
1023656,GALAXY
292433,QSO
1132314,GALAXY
1460120,GALAXY
1437818,GALAXY
798672,STAR
52140,QSO
1128837,GALAXY
334944,QSO
1158148,GALAXY
922331,STAR
1029439,GALAXY
708669,STAR
538286,STAR
1126538,GALAXY
630034,STAR
658715,STAR
1490888,GALAXY
1172834,GALAXY
170085,QSO
622888,STAR
1177876,GALAXY
1121803,GALAXY
789757,STAR
577731,STAR
209366,QSO
298078,QSO
574223,STAR
609607,STAR
508339,STAR
918447,STAR
585846,STAR
1408004,GALAXY
409047,QSO
99463,QSO
580871,STAR
144962,QSO
230168,QSO
660610,STAR
121910,QSO
1392395,GALAXY
334425,QSO
848325,STAR
584125,STAR
451389,QSO
1384740,GALAXY
1204239,GALAXY
475712,QSO
933990,STAR
994606,STAR
201720,QSO
631189,STAR
416795,QSO
163331,QSO
146601,QSO
440258,QSO
1058173,GALAXY
308262,QSO
603455,STAR
374255,QSO
576467,STAR
1103243,GALAXY
692496,STAR
140472,QSO
915215,STAR
1187420,GALAXY
948582,STAR
904424,STAR
129577,QSO
724673,STAR
1229098,GALAXY
1145941,GALAXY
965869,STAR
1348742,GALAXY
623892,STAR
179401,QSO
1298554,GALAXY
1196685,GALAXY
1263908,GALAXY
191023,QSO
114146,QSO
636216,STAR
1346284,GALAXY
18609,QSO
501508,STAR
409621,QSO
1423330,GALAXY
809527,STAR
900808,STAR
458912,QSO
390305,QSO
1221386,GALAXY
1240136,GALAXY
1376684,GALAXY
393060,QSO
1153532,GALAXY
1367144,GALAXY
1001456,GALAXY
115140,QSO
53323,QSO
1057436,GALAXY
930189,STAR
1474783,GALAXY
509025,STAR
218509,QSO
268848,QSO
397487,QSO
349387,QSO
1446256,GALAXY
1046358,GALAXY
1149942,GALAXY
169607,QSO
487452,QSO
171792,QSO
694403,STAR
1030900,GALAXY
210191,QSO
1042695,GALAXY
677204,STAR
897298,STAR
1053746,GALAXY
140685,QSO
1261376,GALAXY
634615,STAR
139646,QSO
1371083,GALAXY
1291536,GALAXY
1173442,GALAXY
342681,QSO
533540,STAR
909981,STAR
440348,QSO
549938,STAR
1048238,GALAXY
503079,STAR
625346,STAR
494179,QSO
1284352,GALAXY
963531,STAR
569371,STAR
1256231,GALAXY
479372,QSO
351178,QSO
1095576,GALAXY
1084624,GALAXY
563802,STAR
121686,QSO
131120,QSO
525420,STAR
543660,STAR
560516,STAR
1247245,GALAXY
764561,STAR
1192403,GALAXY
564519,STAR
504263,STAR
1127483,GALAXY
1043232,GALAXY
1111146,GALAXY
1355580,GALAXY
238324,QSO
1024536,GALAXY
194300,QSO
1365057,GALAXY
342272,QSO
841964,STAR
1432489,GALAXY
291078,QSO
1463467,GALAXY
936979,STAR
686269,STAR
181301,QSO
1328703,GALAXY
886338,STAR
1326917,GALAXY
1001685,GALAXY
547685,STAR
1355116,GALAXY
457698,QSO
1373319,GALAXY
393938,QSO
682464,STAR
1246847,GALAXY
936396,STAR
877923,STAR
30205,QSO
92163,QSO
924637,STAR
448410,QSO
1496009,GALAXY
3265,QSO
796792,STAR
196365,QSO
658052,STAR
883106,STAR
1081636,GALAXY
1317361,GALAXY
79975,QSO
23891,QSO
1195165,GALAXY
965280,STAR
1448845,GALAXY
1000807,GALAXY
1367656,GALAXY
148358,QSO
412667,QSO
1317134,GALAXY
1343005,GALAXY
569667,STAR
442762,QSO
1266247,GALAXY
1000508,GALAXY
1302122,GALAXY
820017,STAR
1454902,GALAXY
797148,STAR
563773,STAR
1166831,GALAXY
1441477,GALAXY
848061,STAR
1225979,GALAXY
31313,QSO
504295,STAR
1172287,GALAXY
436059,QSO
1184334,GALAXY
1022092,GALAXY
693389,STAR
964743,STAR
1257492,GALAXY
424239,QSO
3423,QSO
762435,STAR
502196,STAR
1061351,GALAXY
825569,STAR
886952,STAR
93881,QSO
1403730,GALAXY
1124166,GALAXY
714605,STAR
408255,QSO
521611,STAR
754477,STAR
1351991,GALAXY
1136799,GALAXY
1009390,GALAXY
1206808,GALAXY
254533,QSO
1434140,GALAXY
783408,STAR
204862,QSO
1002701,GALAXY
910176,STAR
871547,STAR
231499,QSO
174517,QSO
781312,STAR
62347,QSO
680876,STAR
951908,STAR
970782,STAR
156159,QSO
874396,STAR
465917,QSO
858225,STAR
1276789,GALAXY
492793,QSO
932798,STAR
1001836,GALAXY
1358905,GALAXY
934883,STAR
220095,QSO
1309047,GALAXY
593496,STAR
1340483,GALAXY
974115,STAR
1475890,GALAXY
871514,STAR
194399,QSO
347000,QSO
1369371,GALAXY
824384,STAR
713750,STAR
618474,STAR
1142946,GALAXY
728228,STAR
70051,QSO
323161,QSO
1225256,GALAXY
996348,STAR
151172,QSO
809052,STAR
473956,QSO
75939,QSO
948176,STAR
1457407,GALAXY
812169,STAR
56906,QSO
1162471,GALAXY
948839,STAR
477820,QSO
812700,STAR
565452,STAR
388439,QSO
346801,QSO
930034,STAR
494272,QSO
1464425,GALAXY
962821,STAR
659218,STAR
292726,QSO
1099032,GALAXY
646363,STAR
1433281,GALAXY
796057,STAR
370303,QSO
53308,QSO
273523,QSO
363691,QSO
1448718,GALAXY
981620,STAR
926939,STAR
820110,STAR
1414131,GALAXY
386579,QSO
784838,STAR
1061613,GALAXY
1409069,GALAXY
1356410,GALAXY
743734,STAR
1089803,GALAXY
394363,QSO
80039,QSO
1448773,GALAXY
983273,STAR
562852,STAR
1039482,GALAXY
869596,STAR
1487887,GALAXY
816911,STAR
1255261,GALAXY
1368889,GALAXY
721784,STAR
489761,QSO
930221,STAR
84332,QSO
1355320,GALAXY
1483501,GALAXY
516713,STAR
780346,STAR
207906,QSO
265018,QSO
1459125,GALAXY
725535,STAR
1270381,GALAXY
331632,QSO
995274,STAR
763252,STAR
1152205,GALAXY
1277638,GALAXY
1382551,GALAXY
187167,QSO
29244,QSO
786620,STAR
568248,STAR
946546,STAR
144219,QSO
660817,STAR
1071495,GALAXY
314037,QSO
1257192,GALAXY
219449,QSO
293634,QSO
688571,STAR
1026608,GALAXY
760603,STAR
1326111,GALAXY
786676,STAR
1292555,GALAXY
929578,STAR
812633,STAR
1019739,GALAXY
991308,STAR
88505,QSO
1187619,GALAXY
393206,QSO
146866,QSO
810939,STAR
605759,STAR
1415275,GALAXY
997883,GALAXY
228635,QSO
1445654,GALAXY
1425470,GALAXY
707818,STAR
366901,QSO
1006394,GALAXY
1145767,GALAXY
757975,STAR
965144,STAR
197002,QSO
461516,QSO
691933,STAR
815319,STAR
1108684,GALAXY
1485170,GALAXY
782102,STAR
1373272,GALAXY
1297680,GALAXY
749764,STAR
1376918,GALAXY
134689,QSO
985850,STAR
185510,QSO
474697,QSO
553340,STAR
598731,STAR
811478,STAR
334658,QSO
658883,STAR
1334048,GALAXY
1310077,GALAXY
614180,STAR
1196771,GALAXY
158404,QSO
839803,STAR
716687,STAR
461293,QSO
97582,QSO
377670,QSO
380691,QSO
1006908,GALAXY
1224306,GALAXY
229444,QSO
1369872,GALAXY
735170,STAR
934904,STAR
522821,STAR
888200,STAR
6891,QSO
889850,STAR
850540,STAR
111289,QSO
1177988,GALAXY
502756,STAR
650866,STAR
903893,STAR
994424,STAR
900595,STAR
362601,QSO
175849,QSO
512808,STAR
106127,QSO
252035,QSO
1267997,GALAXY
962822,STAR
1289806,GALAXY
816922,STAR
24983,QSO
397030,QSO
1024895,GALAXY
1225053,GALAXY
1173059,GALAXY
709975,STAR
726868,STAR
249695,QSO
382491,QSO
699118,STAR
204451,QSO
1041560,GALAXY
485187,QSO
1365156,GALAXY
1218377,GALAXY
291364,QSO
455682,QSO
1393055,GALAXY
705154,STAR
1033331,GALAXY
748645,STAR
1009103,GALAXY
909226,STAR
738666,STAR
1444166,GALAXY
371381,QSO
470871,QSO
211300,QSO
1145580,GALAXY
584780,STAR
583945,STAR
1486286,GALAXY
289609,QSO
1459311,GALAXY
377673,QSO
307012,QSO
99369,QSO
438176,QSO
786890,STAR
176521,QSO
1129758,GALAXY
376807,QSO
110381,QSO
362474,QSO
186248,QSO
870941,STAR
593554,STAR
438006,QSO
853798,STAR
260303,QSO
894437,STAR
151687,QSO
755953,STAR
564756,STAR
1258843,GALAXY
543163,STAR
10793,QSO
1097052,GALAXY
575015,STAR
1116559,GALAXY
361865,QSO
1286764,GALAXY
367871,QSO
1217807,GALAXY
1468050,GALAXY
1189620,GALAXY
1200217,GALAXY
320429,QSO
810240,STAR
9077,QSO
1493587,GALAXY
818527,STAR
193194,QSO
1419742,GALAXY
632626,STAR
548931,STAR
816524,STAR
509337,STAR
1426200,GALAXY
1070077,GALAXY
5799,QSO
260761,QSO
1274023,GALAXY
98018,QSO
128515,QSO
399238,QSO
1378165,GALAXY
166605,QSO
244477,QSO
440720,QSO
179567,QSO
1087684,GALAXY
171380,QSO
33476,QSO
831276,STAR
3711,QSO
673297,STAR
884416,STAR
875185,STAR
808511,STAR
1317752,GALAXY
723016,STAR
